image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
baboon,8.570631690741353e-11,1.401715012454052e-10,0.999999999718418,0.9999999921060599,0.0006286282410791611,0.00043521702290339533,8.478865617980589e-10,5.831173773693623e-13,1.6512534874913455e-14,1.3891548351362741e-09,1.512701783167735e-13,1.622996434081876e-14,0.0,0.0,0.0,0.0
barbara,3.144566692544349e-11,2.6807319292146413e-13,0.9999999996902743,0.9999999999444383,0.00014455390207354836,6.663935807393122e-05,3.0886613113974654e-10,7.740542866084551e-14,1.840604093292479e-15,2.609114200045401e-12,5.395924490560956e-15,1.7275726638005442e-15,0.0,0.0,0.0,0.0
bridge,4.519837552841538e-11,1.4426592121186608e-10,0.9999999998651288,0.9999999907260058,0.0001598827879991332,7.308680556394599e-05,4.423605866388078e-10,3.6315986897191525e-13,2.061489331638885e-15,1.4152368921334894e-09,4.029922137811684e-14,1.898953806258331e-15,0.0,0.0,0.0,0.0
coastguard,8.803317475578848e-11,8.605433901120681e-10,0.9999999994315565,0.9999999536834081,7.823512249534704e-05,3.420016522308185e-05,8.687159172378779e-10,1.3308003509209145e-12,4.436193354883302e-15,8.52977374003771e-09,2.7493926459961544e-13,2.9489189506262475e-15,0.0,0.0,0.0,0.0
comic,3.5915639793345004e-10,3.30634613579855e-11,0.9999999992325443,0.9999999984204365,0.00023046481858827897,5.8654169538316896e-05,3.559615840777681e-09,5.18025537119317e-12,1.389070097900198e-14,3.2808907357570155e-10,3.271265973789703e-13,1.0369680957931479e-14,0.0,0.0,0.0,0.0
face,1.0191798136560804e-10,2.1260516732878625e-09,0.999999994744977,0.9999999113227341,1.771547219651598e-05,7.8314453787443e-06,9.951548553356437e-10,9.269845502001399e-13,5.657770421450739e-15,2.0834156583418665e-08,6.736457659128702e-14,5.806431695521443e-15,0.0,-0.06962795169076896,0.0,-0.019816080105207412
flowers,3.680880607163748e-10,1.246031766603706e-10,0.9999999989358056,0.999999995298742,0.0002474785850241837,3.904668948288396e-05,3.660554628196519e-09,2.8102907882124216e-12,3.587607330940403e-15,1.2417576669466448e-09,8.008377757723966e-14,2.423959301375377e-15,0.0,-0.883148052369003,0.0,-0.18610815419148907
foreman,5.314306215850887e-11,2.1162200587824376e-12,0.9999999997534271,0.9999999998992776,1.553894503958839e-05,1.4954126714781647e-06,5.260623522312322e-10,2.5139573131447594e-13,6.555962385843297e-16,2.0962462738695442e-11,4.37163054508354e-15,4.724965645187799e-16,0.0,0.0,0.0,0.0
lenna,1.7460528584438214e-11,2.1742073985676595e-11,0.9999999999301976,0.9999999985900122,1.5490891774480885e-05,2.024369066977035e-06,1.7111111329647557e-10,6.52578831064346e-14,5.913047742954151e-17,2.1330332830342444e-10,1.3053135430489956e-15,4.024949661521867e-17,0.0,0.0,0.0,0.0
man,1.3607241452133664e-10,2.11728938533908e-10,0.9999999995456446,0.9999999874926057,0.00018094986606172894,5.7931941293619626e-05,1.332961721847943e-09,6.864157537050314e-13,2.6247516179710312e-15,2.0771203508322455e-09,3.4067612005569914e-14,2.1756690030998292e-15,0.0,-0.6461359895683432,0.0,-0.21348238334322
monarch,2.789638829996028e-11,5.2595190956963844e-14,0.9999999999241979,0.9999999999891708,8.488102805976473e-05,4.358755426801922e-06,2.7371395796931977e-10,1.7064644602021534e-13,9.478432184140126e-17,5.126951046599905e-13,1.3933211514081371e-15,3.6340522244556714e-17,0.0,0.0,0.0,0.0
pepper,3.427941335978364e-11,3.265726292481252e-13,0.9999999998217397,0.9999999999955629,1.8589682365241122e-05,3.630871905009352e-06,3.361043284006266e-10,6.95931757869319e-14,2.3426627346340234e-16,3.199468537975551e-12,1.1245205960018962e-15,2.0313496052494752e-16,0.0,0.0,0.0,0.0
ppt3,5.660457199713593e-11,4.8373293649079845e-12,0.9999999994867123,0.9999999999279708,6.439866007156695e-05,7.197472500917496e-06,5.551421153331232e-10,1.2684911762195254e-13,1.406134984353476e-16,4.745939012951088e-11,4.654390506108145e-15,5.0647576352780336e-17,0.0,0.0,0.0,0.0
zebra,1.4581315539090586e-10,9.820605756053022e-12,0.9999999993908877,0.9999999994705694,0.00015942159901559532,6.665925463260769e-06,1.4560519406896045e-09,2.0813127020347234e-12,2.9421076138801364e-16,9.843235323458587e-11,1.7926743418711176e-14,8.547147549059785e-17,0.0,0.0,0.0,0.0
