image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
img001,2.2819359503849754e-11,2.4160558758569523e-13,0.9999999999299419,0.999999999934293,0.0002048147365261897,6.044789853122316e-05,2.2611719529804802e-10,6.76436300694345e-14,8.841068807168162e-16,2.3876678014643823e-12,1.5860188779049545e-15,6.53406378522018e-16,0.0,-1.0901520499373802,0.0,-0.4425082871885575
img002,1.0094046577299782e-11,1.3437889020941396e-12,0.999999999965396,0.9999999998483597,0.00011613814447349363,2.7930879117978513e-05,1.0101679540585652e-10,2.675346741098448e-14,1.8824044342563442e-16,1.3456034011905255e-11,6.897352824794829e-16,1.3041746312858031e-16,0.0,0.0,0.0,0.0
img003,6.513454206697481e-11,2.0245538173313964e-10,0.9999999987554103,0.9999999860813366,0.0006712914073746273,0.0002516055161935271,6.455799199873751e-10,1.6860634616263514e-13,2.078162269562348e-15,2.008184101380669e-09,1.0989151020719836e-14,1.6942281976443782e-15,0.0,-2.3553204089306123,0.0,-1.0975820241867495
img004,2.5113687445887277e-10,1.0200328559686943e-10,0.9999999983012415,0.999999983549144,0.0010038499756888169,0.00014935255927029132,2.487143964337255e-09,1.3370566465258635e-12,6.347291652891943e-16,1.011530769693986e-09,9.240681805739248e-14,2.9909380602623043e-16,0.0,-10.593828573763727,0.0,-5.641454817725778
img005,1.6419128953520407e-10,6.172528505745577e-12,0.9999999974890286,0.9999999992827376,0.0005498320310228852,3.0885653882914956e-05,1.6428652138659892e-09,5.368428897005001e-13,4.4028598958572514e-16,6.181116549903636e-11,3.2260824262202744e-15,1.4784484048161032e-16,0.0,-6.3962218618921725,0.0,-1.1537568362388857
img006,4.936412689250958e-11,2.076388838269026e-11,0.9999999998588647,0.9999999956586116,0.001974323922352996,0.0006938814609567482,4.896365355560019e-10,2.0026397255168475e-13,4.763995585607134e-15,2.0616107319281258e-10,1.0755554853082078e-14,3.978664107748466e-15,0.0,-10.962476042445251,0.0,-9.676388293025255
img007,3.4402937039865725e-11,5.621330059704362e-12,0.9999999987807437,0.9999999993003619,5.346965004980932e-05,5.326450982521623e-06,3.411184268950413e-10,4.5939320682779466e-14,2.982883265540724e-17,5.5757363496554046e-11,8.408862230112032e-16,1.82795065577534e-17,0.0,-0.2451805783793496,0.0,-0.038884511461794946
img008,6.073900140129654e-11,6.991631867621055e-13,0.9999999988004389,0.999999999858514,0.0007719636216218707,0.00025278511620370166,6.036814298803661e-10,2.034223730673886e-13,2.2424408666463464e-15,6.907459553711135e-12,1.2675306408101458e-14,1.8170884718396765e-15,0.0,0.0,0.0,0.0
img009,7.625015160503585e-14,1.1903610082854229e-13,0.9999999999791933,0.9999999999734904,2.0448068798735548e-06,3.499873520037094e-07,7.599775575019693e-13,4.472396517783226e-16,1.5345926361191665e-18,1.188467169220404e-12,1.904886914053256e-17,8.99248073584925e-19,0.0,0.0,0.0,0.0
img010,9.119790595945947e-13,8.1508371818156e-14,0.9999999999961758,0.9999999999934067,4.463362223148622e-05,1.0793387429754212e-05,9.038056757893863e-12,4.130034975524151e-15,6.390599565531793e-17,8.085691798888417e-13,3.46348862330833e-17,3.9870465162463664e-17,0.0,0.0,0.0,0.0
