frequency_bin_normalized_0_to_1,mean_normalized_energy,std_normalized_energy
0.0005,0.7764356593879411,0.09604416310248987
0.0015,0.02589674806888174,0.036771737429731166
0.0025,0.022104361343149748,0.029877063480725035
0.0035,0.018095351175229372,0.02198757213791962
0.0045000000000000005,0.005303943859313739,0.008097486713501901
0.0055,0.009082467689424499,0.008562950358263268
0.006500000000000001,0.0058394216049229555,0.005602644158461485
0.0075,0.004779871831260598,0.004341834462947308
0.0085,0.005492825629210709,0.004489428029171372
0.009500000000000001,0.004244821184888532,0.0033999872065314024
0.010499999999999999,0.002829817054624676,0.002497982380310288
0.0115,0.004444762104458208,0.003705787332126095
0.0125,0.0024928071940035525,0.0027693772517195085
0.013500000000000002,0.003066710973230634,0.002209578298973951
0.014499999999999999,0.002773908075837592,0.002220154783303942
0.0155,0.003350029073839381,0.003574553697402464
0.0165,0.0017286483150337933,0.00135765949000722
0.0175,0.002816752392322375,0.0021770346759389567
0.018500000000000003,0.001970874232519109,0.0023712128593993955
0.0195,0.0020621968096611524,0.0020945926987359434
0.0205,0.002215297953671893,0.0022851647650413633
0.0215,0.0020959997270190234,0.0016514968992011817
0.0225,0.0015151284117592802,0.001963365263842943
0.0235,0.0021795060036339645,0.0016460931121373464
0.0245,0.0015656377461034288,0.0021882759103852246
0.025500000000000002,0.0016167689208897726,0.0022743159566753486
0.026500000000000003,0.0018686094750805487,0.0015199495961090764
0.0275,0.0018961905149036528,0.0022319359061367867
0.0285,0.001153030818263751,0.0014954200064107284
0.0295,0.0020550814380649552,0.0017485795037167232
0.0305,0.0010922295582437014,0.0020196064368947124
0.0315,0.001716302699872758,0.0020968857186151753
0.0325,0.0011867588139281788,0.0011650575545165973
0.0335,0.001349346801588,0.001565739550394378
0.0345,0.0011528728080475105,0.0015288365431458896
0.035500000000000004,0.001649010809411889,0.001427014013429811
0.036500000000000005,0.0009465773304592503,0.0011067091633333095
0.0375,0.001317001484247226,0.001708604711797252
0.0385,0.0011448612215368204,0.0012562776134442636
0.0395,0.001207541143781937,0.0010513954744422688
0.0405,0.0009647199528479738,0.0012691084217840883
0.0415,0.0015107704830348838,0.0016833971126512823
0.0425,0.0010973918665307255,0.0012110331221490914
0.0435,0.0009920601777221546,0.0008061488092132878
0.0445,0.0011080488932532914,0.0010370957894609706
0.0455,0.001152721755281299,0.0020365251767391927
0.0465,0.0009223849820378297,0.0008654359940564393
0.0475,0.0009767140405420795,0.001060152540742442
0.0485,0.0009070121518013164,0.0011167185181858318
0.0495,0.000837048597068056,0.0007629961471768305
0.0505,0.0009721167039286005,0.0009507473746159642
0.051500000000000004,0.0006398052995833243,0.0005947124437841331
0.052500000000000005,0.0009912230800124802,0.0012217250311688322
0.0535,0.0006668269827178702,0.0006301711154879572
0.0545,0.0007125660182598027,0.0005752197725040249
0.0555,0.0007837761041470346,0.0008952177962223266
0.0565,0.0008211096289235991,0.0010076743361943292
0.0575,0.0005676963742118301,0.0004952305309280059
0.0585,0.0007540201182868622,0.0006355911475243019
0.0595,0.0006330168445903911,0.0008579166223222518
0.0605,0.0006747596573916773,0.0005862075855969171
0.0615,0.0005966250519901042,0.0005450617722505151
0.0625,0.0008210284474260759,0.0009551382532748618
0.0635,0.0005592134875772193,0.0006568696617605388
0.0645,0.000678536810409418,0.0005306787938711431
0.0655,0.0005198774177243868,0.0004401907660294107
0.0665,0.0006970886775551474,0.0008733394069458557
0.0675,0.0005952687950664887,0.0006129478434020973
0.0685,0.0005878472107710672,0.0005117794481071113
0.0695,0.0004642947391882127,0.0005154122394268083
0.07050000000000001,0.0006947765405567728,0.0006884866078126918
0.07150000000000001,0.00044498490865056304,0.0004185702749314835
0.07250000000000001,0.000492352186039637,0.00034360083478460375
0.0735,0.0005472969841028703,0.000565341065589176
0.0745,0.0005308307014133499,0.00047096804539536915
0.0755,0.0003969828718764627,0.00030821725096232444
0.0765,0.0006352739198896779,0.0006285388919977146
0.0775,0.00038966720284214164,0.00043432842201722324
0.0785,0.000505476551480795,0.0003477960969682839
0.0795,0.00041993254314976245,0.00047211579579341776
0.0805,0.0005388355701903367,0.0005573476094308157
0.0815,0.00039466469880309625,0.000386882729761702
0.0825,0.0004934835680111969,0.0003980338193611212
