frequency_bin_normalized_0_to_1,gt_mean,gt_std,classical_mean,classical_std,deep_mean,deep_std
0.0005,0.7473157237729692,0.10030932843610747,0.7858156189668632,0.09462365754612488,0.7764356593879411,0.09604416310248987
0.0015,0.024928476306377317,0.03562112873533652,0.026076668354225254,0.03706971400564807,0.02589674806888174,0.036771737429731166
0.0025,0.021216625621791704,0.02858796901388488,0.022280430091212704,0.030269054422826406,0.022104361343149748,0.029877063480725035
0.0035,0.01737206778416299,0.021309530878197817,0.01823851226063903,0.022161654898671255,0.018095351175229372,0.02198757213791962
0.0045000000000000005,0.0050699033911704204,0.007709213188488752,0.005360029343023599,0.00821847228217937,0.005303943859313739,0.008097486713501901
0.0055,0.008709707946933537,0.008247315149037699,0.00913149173253216,0.00860447816457408,0.009082467689424499,0.008562950358263268
0.006500000000000001,0.0055814384468817054,0.005336949000835583,0.005879540539133704,0.005638271456885899,0.0058394216049229555,0.005602644158461485
0.0075,0.0045664978190987394,0.004178659377577557,0.004812676478792491,0.0043748479622063565,0.004779871831260598,0.004341834462947308
0.0085,0.005263548907969343,0.004318784977093424,0.005528865737181946,0.004520107939784593,0.005492825629210709,0.004489428029171372
0.009500000000000001,0.004055999628064873,0.003238423461011162,0.004275743008569819,0.003432343761757516,0.004244821184888532,0.0033999872065314024
0.010499999999999999,0.002716589927283658,0.0023848524733760777,0.0028502272682858444,0.0025110981876402217,0.002829817054624676,0.002497982380310288
0.0115,0.004245162063287806,0.0035486839466948206,0.004472233655635524,0.003735778254004993,0.004444762104458208,0.003705787332126095
0.0125,0.0023895408519150085,0.0026459001131888013,0.0025087473423306976,0.0027930211468576763,0.0024928071940035525,0.0027693772517195085
0.013500000000000002,0.0029285373901446836,0.002091892258693633,0.0030852856174773576,0.0022196043296173326,0.003066710973230634,0.002209578298973951
0.014499999999999999,0.00271302978232043,0.0022321299170311947,0.0027931550569107403,0.0022371834718394224,0.002773908075837592,0.002220154783303942
0.0155,0.0031724506557273147,0.0031921862019267688,0.0033740347146424842,0.0036166435643148575,0.003350029073839381,0.003574553697402464
0.0165,0.0016589549673526158,0.0012992517691310151,0.0017430505591185985,0.0013722319228437392,0.0017286483150337933,0.00135765949000722
0.0175,0.0026210467257081153,0.0020516975825633846,0.0028365029241997335,0.0021898676991107934,0.002816752392322375,0.0021770346759389567
0.018500000000000003,0.001978075153509137,0.0022637000351018463,0.0019879804902018126,0.0024107244261511616,0.001970874232519109,0.0023712128593993955
0.0195,0.0019879660742738218,0.00200882296839218,0.002074603507973752,0.0021034775576836318,0.0020621968096611524,0.0020945926987359434
