Wall time,Step,Value
1755325668.4003696,1000,0.6516883969306946
1755326117.0843642,2000,0.7876107692718506
1755326565.6490073,3000,0.8202099800109863
1755327015.1832507,4000,0.8329218029975891
1755327466.191551,5000,0.846422553062439
1755327926.219422,6000,0.8554911613464355
1755328390.4109542,7000,0.8606030941009521
1755328840.1903038,8000,0.8639779090881348
1755329293.5839932,9000,0.8664819002151489
1755329754.1834593,10000,0.8685768842697144
1755330214.6062489,11000,0.8702305555343628
1755330674.2982051,12000,0.8715517520904541
1755331134.0334551,13000,0.8725971579551697
1755331594.2194924,14000,0.8734511733055115
1755332054.366299,15000,0.8742184042930603
1755332514.2129953,16000,0.874893844127655
1755332973.9085484,17000,0.8755456209182739
1755333434.4599426,18000,0.8760592341423035
1755333896.4309049,19000,0.8765811324119568
1755334356.5937755,20000,0.8769738674163818
1755334816.5699596,21000,0.8773539662361145
1755335277.509155,22000,0.8777017593383789
1755335740.05405,23000,0.8780552744865417
1755336200.828671,24000,0.878378689289093
1755336661.445865,25000,0.8787066340446472
1755337122.1324825,26000,0.8791235685348511
1755337583.2924662,27000,0.8793683648109436
1755338045.1342587,28000,0.8796902298927307
1755338505.8446236,29000,0.8798711895942688
1755338966.8739865,30000,0.8800827860832214
1755339428.3059778,31000,0.8803911209106445
1755339890.781542,32000,0.8806082606315613
1755340352.1340225,33000,0.8808252215385437
1755340813.905439,34000,0.8810598850250244
1755341274.7671382,35000,0.8812275528907776
1755341735.7762232,36000,0.881334125995636
1755342198.3075576,37000,0.8815306425094604
1755342658.3534415,38000,0.8817062377929688
1755343119.4601483,39000,0.8818372488021851
1755343580.4233239,40000,0.8820350766181946
1755344042.94805,41000,0.8821974992752075
1755344502.658218,42000,0.8823474049568176
1755344964.2658668,43000,0.8824673295021057
1755345423.848072,44000,0.8825897574424744
1755345883.0429354,45000,0.8827540278434753
1755346343.7721157,46000,0.8828015923500061
1755346803.0104065,47000,0.8829173445701599
1755347262.5846705,48000,0.8830316066741943
1755347721.8018925,49000,0.8831619024276733
1755348183.2641835,50000,0.8832238912582397
1755348185.336899,50002,0.8832238912582397
