Wall time,Step,Value
1755961276.7590666,1000,18.3416748046875
1755961662.4007316,2000,24.128053665161133
1755962048.706351,3000,27.384950637817383
1755962435.1275954,4000,28.709638595581055
1755962822.131583,5000,29.475494384765625
1755963208.1551685,6000,29.937808990478516
1755963594.6171505,7000,30.198341369628906
1755963980.8842268,8000,30.351360321044922
1755964367.6461983,9000,30.468738555908203
1755964756.300425,10000,30.563657760620117
1755965147.2449548,11000,30.64733123779297
1755965537.9063153,12000,30.720190048217773
1755965931.0115564,13000,30.782207489013672
1755966324.165055,14000,30.844417572021484
1755966711.096654,15000,30.900070190429688
1755967097.6250293,16000,30.9421443939209
1755967485.3470483,17000,30.98412322998047
1755967873.796126,18000,31.016096115112305
1755968262.0542235,19000,31.050399780273438
1755968648.9163978,20000,31.0809268951416
1755969035.6159086,21000,31.10476303100586
1755969422.2259994,22000,31.125812530517578
1755969810.0381694,23000,31.148988723754883
1755970196.4813848,24000,31.17012596130371
1755970582.8361237,25000,31.19049644470215
1755970969.2308936,26000,31.208690643310547
1755971355.732432,27000,31.22587776184082
1755971743.056502,28000,31.24174690246582
1755972129.6120238,29000,31.250497817993164
1755972516.1991966,30000,31.26154899597168
1755972902.7770267,31000,31.276691436767578
1755973290.262438,32000,31.28527069091797
1755973676.7007327,33000,31.293283462524414
1755974062.9818127,34000,31.30315399169922
1755974449.5162659,35000,31.308794021606445
1755974836.3280323,36000,31.313488006591797
1755975223.4607294,37000,31.319665908813477
1755975609.4521725,38000,31.32494354248047
1755975995.8916078,39000,31.3300838470459
1755976382.4924052,40000,31.338397979736328
1755976770.4035122,41000,31.342382431030273
1755977156.7633986,42000,31.350141525268555
1755977543.6300182,43000,31.357431411743164
1755977930.3357425,44000,31.359886169433594
1755978316.6002154,45000,31.369613647460938
1755978703.4788501,46000,31.372562408447266
1755979089.7460787,47000,31.3793888092041
1755979476.0942388,48000,31.386247634887695
1755979862.7599242,49000,31.394567489624023
1755980250.356457,50000,31.40167999267578
1755980252.073562,50002,31.40167999267578
